segments, rdd, rdd-v2, dataset, dataset-v2
20, 14.595168841, 5.955895677, 23.513776107, 9.236750423, 
20, 12.651091516, 6.46344969, 19.893867218, 8.87018719, 
10, 9.279155914, 3.448256636, 16.390045525, 4.270322435, 
30, 22.218219025, 11.729136436, 30.360184886, 13.038837472, 
38, 22.80209233, 12.858827607, 37.54371827, 18.367507531, 
58, NA, 26.987808719, NA, 31.817878267, 
73, NA, 32.399932656, NA, 41.588030685, 
98, NA, 49.15970009, NA, 56.100264346, 
20, 15.493685487, 6.532671594, 23.877424001, 8.513426126, 
20, 17.499071165, 6.830164236, 25.163259906, 11.212556335, 
20, 14.222587789, 6.648570755, 22.37761739, 11.411801766, 
